Tienda;SKU;Código de Barras;Producto;Stock Mínimo (Base);Existencia Actual
"Regalos Mayoristas";"HAR09";"8809532221813";"haruharu Centella 4% TXA Spot Serum";0;0
"Regalos Mayoristas";"HAR10";"8809532221790";"HARUHARU CENTELLA PEPTIDE CREAM";0;0
"Regalos Mayoristas";"HAR04";"8809532221691";"HARUHARU MINERAL RELIEF SUNSCREEN";0;0
"Regalos Mayoristas";"HAR01";"8809532221721";"HARUHARU RICE HYALURONIC CREAM";0;0
"Regalos Mayoristas";"HAR02";"8809532221462";"HARUHARU RICE HYALURONIC TONER";0;0
"Regalos Mayoristas";"HAR06";"8809532221356";"HARUHARU RICE SOFT CLEANSING GEL";0;0
"Regalos Mayoristas";"HAR12";"8809532221783";"HARUHARU TRIPLE AHA CLEANSING GEL";0;0
"Regalos Mayoristas";"KOC16";"8809328324049";"Koc Waffle Mask Honey";0;0
"Regalos Mayoristas";"KOC12";"8809328324001";"Koc Waffle Mask Strawberry";0;0
"Regalos Mayoristas";"KOC28";"8809328325190";"KOCOSTAR COLLAGEN MASK";0;0
"Regalos Mayoristas";"KOC10";"8809328320287";"KOCOSTAR FOOT PACK PURPLE";0;0
"Regalos Mayoristas";"KOC09";"8809328320270";"KOCOSTAR FOOT PACK YELLOW";0;0
"Regalos Mayoristas";"KOC08";"8809328320256";"KOCOSTAR HAND PACK MINT";0;0
"Regalos Mayoristas";"KOC07";"8809328320232";"KOCOSTAR HAND PACK PURPLE";0;0
"Regalos Mayoristas";"KOC06";"8809328320218";"KOCOSTAR HAND PACK YELLOW";0;0
"Regalos Mayoristas";"KOC29";"8809328325183";"KOCOSTAR HYALURONIC MASK";0;0
"Regalos Mayoristas";"KOC31";"8809328326418";"KOCOSTAR RETINOL MASK";0;0
"Regalos Mayoristas";"KOC30";"8809328325213";"KOCOSTAR TEA TREE MASK";0;0
"Regalos Mayoristas";"HAR14";"";"Mini Haru Hyaluronic Toner (10ml)";10;0
"Regalos Mayoristas";"JAD01";"1000000200001";"MINI JADE ROLLER MOUNT L";0;0
"Regalos Mayoristas";"KOC27";"8809328325312";"PEACH DUO DUO";0;0
"Regalos Mayoristas";"KOC32";"8809328325282";"PREMIUM FOOT PEELING PACK";0;0
"Regalos Mayoristas";"KOC17";"8809328320058";"Princess Eye Patch Gold (tarro)";0;0
"Regalos Mayoristas";"KOC18";"8809328321338";"Princess EyePatch Gold Sachet";9;0
"Regalos Mayoristas";"PUR02";"8809563103706";"Purito BB Cream Natural Beige #23";0;0
"Regalos Mayoristas";"PUR01";"8809563103683";"Purito BB Cream Rose Ivory #15";0;0
"Regalos Mayoristas";"PUR03";"8809563103713";"Purito BB Cream Sand Beige #27";0;0
"Regalos Mayoristas";"KOC22";"8809328325558";"ROMANTIC ROSE LIP MASK TARRO";0;0
"Regalos Mayoristas";"HAR15";"";"Sachet haru 5.5 Cleansing Gel (2ml)";55;0
"Regalos Mayoristas";"HAR07";"";"SACHET HARUHARU AIRYFIT SUNSCREEN";0;0
"Regalos Mayoristas";"HAR16";"";"SACHET HARUHARU BAKUCHIOL EYE CREAM";55;0
"Regalos Mayoristas";"HAR08";"";"SACHET HARUHARU MINERAL SUNSCREEN";0;0
"Regalos Mayoristas";"KOC01";"8809328325367";"SLICE CUCUMBER (6pcs)";0;0
"Regalos Mayoristas";"YAD02";"8809340380023";"YAD ANTI-T BUBBLE CLEANSER";0;0
"Regalos Mayoristas";"YAD04";"8809340380313";"YAD ANTI-T EMULSION";0;0
"Regalos Mayoristas";"YAD03";"8809340380306";"YAD ANTI-T TONER";0;0
"Regalos Mayoristas";"YAD12";"8809340383390";"YADAH BE MY TINT 01 WANN";0;0
"Regalos Mayoristas";"YAD13";"8809340383406";"YADAH BE MY TINT 02 PEAC";0;0
"Regalos Mayoristas";"YAD14";"8809340383413";"YADAH BE MY TINT 03 REAL";0;0
"Regalos Mayoristas";"YAD18";"8809340385080";"YADAH CACTUS CREAM";0;0
"Regalos Mayoristas";"YAD32";"8809340386315";"YADAH CACTUS SERUM ";0;0
"Regalos Mayoristas";"YAD34";"8809340385967";"YADAH CACTUS SUNSCREEN";0;0
"Regalos Mayoristas";"YAD26";"8809340385684";"YADAH CACTUS TONER";0;0
"Regalos Mayoristas";"YAD08";"8809340385769";"YADAH CACTUS TONER PADS JAR";0;0
"Regalos Mayoristas";"YAD35";"8809340385424";"YADAH CACTUS TONER SACHET";85;0
"Regalos Mayoristas";"YAD33";"8809340386308";"YADAH CAMELLIA SERUM ";0;0
"Regalos Mayoristas";"YAD36";"8809340386285";"YADAH CLEANSING BALM MINI 3ML";20;0
"Regalos Mayoristas";"YAD27";"8809340386056";"YADAH GREEN TEA CLEANSING";0;0
"Regalos Mayoristas";"YAD28";"8809340385943";"YADAH GREEN TEA PEELING";0;0
"Regalos Mayoristas";"YAD31";"8809340386292";"YADAH GREEN VITA C SERUM ";0;0
"Regalos Mayoristas";"YAD29";"8809340385929";"YADAH SNAIL CLEANSER";0;0
"Regalos Mayoristas";"YAD30";"8809340385936";"YADAH SNAIL CREAM";0;0
"Taller Fundea Geminis/Z.13";"KOC02";"8809328325329";" KOC02 * SLICE STRAWBERRY (6pcs)";11;0
"Taller Fundea Geminis/Z.13";"BAN01";"1000000300001";"BANDITA CABELLO SKIN & B";0;0
"Taller Fundea Geminis/Z.13";"YAD19";"8809340386568";"CACTUS LIP BALM.(01). VANILLA";6;0
"Taller Fundea Geminis/Z.13";"YAD20";"8809340386575";"CACTUS LIP BALM.(02). PEACH";6;0
"Taller Fundea Geminis/Z.13";"YAD21";"8809340386582";"CACTUS LIP BALM.(03). STRAWBERRY ";6;0
"Taller Fundea Geminis/Z.13";"YAD22";"8809340386599";"CACTUS LIP BALM.(04). CHERRY";6;0
"Taller Fundea Geminis/Z.13";"YAD00";"";"CACTUS SOOTHING GEL 15ML";0;0
"Taller Fundea Geminis/Z.13";"YAD11";"8809340385349";"CACTUS SOOTHING GEL 250ML";6;0
"Taller Fundea Geminis/Z.13";"CEN02";"8809576260601";"CENTELLA AMPOULE";0;0
"Taller Fundea Geminis/Z.13";"CEN05";"8809576261110";"Centella Light Cleansing Oil";0;0
"Taller Fundea Geminis/Z.13";"CEN01";"8809913830115";"CENTELLA POREMIZING AMPOULE";0;0
"Taller Fundea Geminis/Z.13";"CEN04";"8809576261462";"CENTELLA POREMIZING AMPOULE 100ML";0;0
"Taller Fundea Geminis/Z.13";"CEN03";"8809913830085";"Centella Poremizing Clay Stick";0;0
"Taller Fundea Geminis/Z.13";"YAD16";"8809340384373";"CHARCOAL CLEANSING NOSE PACK";0;0
"Taller Fundea Geminis/Z.13";"YAD17";"8809340384465";"GREEN TEA PURE CLEANSING BALM";10;0
"Taller Fundea Geminis/Z.13";"HAR11";"8809532221943";"HARU CENTELLA PEPTIDE CREAM REFIL";0;0
"Taller Fundea Geminis/Z.13";"HAR03";"8809532221707";"HARUHARU AIRYFIT SUNSCREEN";6;0
"Taller Fundea Geminis/Z.13";"HAR05";"8809532221523";"HARUHARU BAKUCHIOL EYE CREAM";6;0
"Taller Fundea Geminis/Z.13";"HAR13";"8809532221929";"HARUHARU BAMBOO DAILY SUNSHIELD";6;0
"Taller Fundea Geminis/Z.13";"HAR09";"8809532221813";"haruharu Centella 4% TXA Spot Serum";4;0
"Taller Fundea Geminis/Z.13";"HAR10";"8809532221790";"HARUHARU CENTELLA PEPTIDE CREAM";4;0
"Taller Fundea Geminis/Z.13";"HAR04";"8809532221691";"HARUHARU MINERAL RELIEF SUNSCREEN";6;0
"Taller Fundea Geminis/Z.13";"HAR01";"8809532221721";"HARUHARU RICE HYALURONIC CREAM";4;0
"Taller Fundea Geminis/Z.13";"HAR02";"8809532221462";"HARUHARU RICE HYALURONIC TONER";4;0
"Taller Fundea Geminis/Z.13";"HAR06";"8809532221356";"HARUHARU RICE SOFT CLEANSING GEL";4;0
"Taller Fundea Geminis/Z.13";"HAR12";"8809532221783";"HARUHARU TRIPLE AHA CLEANSING GEL";4;0
"Taller Fundea Geminis/Z.13";"KOC16";"8809328324049";"Koc Waffle Mask Honey";6;0
"Taller Fundea Geminis/Z.13";"KOC12";"8809328324001";"Koc Waffle Mask Strawberry";0;0
"Taller Fundea Geminis/Z.13";"KOC28";"8809328325190";"KOCOSTAR COLLAGEN MASK";12;0
"Taller Fundea Geminis/Z.13";"KOC10";"8809328320287";"KOCOSTAR FOOT PACK PURPLE";0;0
"Taller Fundea Geminis/Z.13";"KOC09";"8809328320270";"KOCOSTAR FOOT PACK YELLOW";10;0
"Taller Fundea Geminis/Z.13";"KOC08";"8809328320256";"KOCOSTAR HAND PACK MINT";0;0
"Taller Fundea Geminis/Z.13";"KOC07";"8809328320232";"KOCOSTAR HAND PACK PURPLE";0;0
"Taller Fundea Geminis/Z.13";"KOC06";"8809328320218";"KOCOSTAR HAND PACK YELLOW";10;0
"Taller Fundea Geminis/Z.13";"KOC29";"8809328325183";"KOCOSTAR HYALURONIC MASK";12;0
"Taller Fundea Geminis/Z.13";"KOC31";"8809328326418";"KOCOSTAR RETINOL MASK";8;0
"Taller Fundea Geminis/Z.13";"KOC30";"8809328325213";"KOCOSTAR TEA TREE MASK";12;0
"Taller Fundea Geminis/Z.13";"HAR14";"";"Mini Haru Hyaluronic Toner (10ml)";0;0
"Taller Fundea Geminis/Z.13";"JAD01";"1000000200001";"MINI JADE ROLLER MOUNT L";0;0
"Taller Fundea Geminis/Z.13";"KOC27";"8809328325312";"PEACH DUO DUO";4;0
"Taller Fundea Geminis/Z.13";"KOC32";"8809328325282";"PREMIUM FOOT PEELING PACK";12;0
"Taller Fundea Geminis/Z.13";"KOC17";"8809328320058";"Princess Eye Patch Gold (tarro)";4;0
"Taller Fundea Geminis/Z.13";"KOC18";"8809328321338";"Princess EyePatch Gold Sachet";12;0
"Taller Fundea Geminis/Z.13";"PUR02";"8809563103706";"Purito BB Cream Natural Beige #23";0;0
"Taller Fundea Geminis/Z.13";"PUR01";"8809563103683";"Purito BB Cream Rose Ivory #15";0;0
"Taller Fundea Geminis/Z.13";"PUR03";"8809563103713";"Purito BB Cream Sand Beige #27";0;0
"Taller Fundea Geminis/Z.13";"KOC22";"8809328325558";"ROMANTIC ROSE LIP MASK TARRO";4;0
"Taller Fundea Geminis/Z.13";"HAR15";"";"Sachet haru 5.5 Cleansing Gel (2ml)";0;0
"Taller Fundea Geminis/Z.13";"HAR07";"";"SACHET HARUHARU AIRYFIT SUNSCREEN";0;0
"Taller Fundea Geminis/Z.13";"HAR16";"";"SACHET HARUHARU BAKUCHIOL EYE CREAM";0;0
"Taller Fundea Geminis/Z.13";"HAR08";"";"SACHET HARUHARU MINERAL SUNSCREEN";0;0
"Taller Fundea Geminis/Z.13";"KOC01";"8809328325367";"SLICE CUCUMBER (6pcs)";6;0
"Taller Fundea Geminis/Z.13";"YAD02";"8809340380023";"YAD ANTI-T BUBBLE CLEANSER";10;0
"Taller Fundea Geminis/Z.13";"YAD04";"8809340380313";"YAD ANTI-T EMULSION";10;0
"Taller Fundea Geminis/Z.13";"YAD03";"8809340380306";"YAD ANTI-T TONER";10;0
"Taller Fundea Geminis/Z.13";"YAD12";"8809340383390";"YADAH BE MY TINT 01 WANN";4;0
"Taller Fundea Geminis/Z.13";"YAD13";"8809340383406";"YADAH BE MY TINT 02 PEAC";10;0
"Taller Fundea Geminis/Z.13";"YAD14";"8809340383413";"YADAH BE MY TINT 03 REAL";2;0
"Taller Fundea Geminis/Z.13";"YAD18";"8809340385080";"YADAH CACTUS CREAM";4;0
"Taller Fundea Geminis/Z.13";"YAD32";"8809340386315";"YADAH CACTUS SERUM ";2;0
"Taller Fundea Geminis/Z.13";"YAD34";"8809340385967";"YADAH CACTUS SUNSCREEN";6;0
"Taller Fundea Geminis/Z.13";"YAD26";"8809340385684";"YADAH CACTUS TONER";4;0
"Taller Fundea Geminis/Z.13";"YAD08";"8809340385769";"YADAH CACTUS TONER PADS JAR";4;0
"Taller Fundea Geminis/Z.13";"YAD35";"8809340385424";"YADAH CACTUS TONER SACHET";0;0
"Taller Fundea Geminis/Z.13";"YAD33";"8809340386308";"YADAH CAMELLIA SERUM ";4;0
"Taller Fundea Geminis/Z.13";"YAD36";"8809340386285";"YADAH CLEANSING BALM MINI 3ML";0;0
"Taller Fundea Geminis/Z.13";"YAD27";"8809340386056";"YADAH GREEN TEA CLEANSING";5;0
"Taller Fundea Geminis/Z.13";"YAD28";"8809340385943";"YADAH GREEN TEA PEELING";5;0
"Taller Fundea Geminis/Z.13";"YAD31";"8809340386292";"YADAH GREEN VITA C SERUM ";2;0
"Taller Fundea Geminis/Z.13";"YAD29";"8809340385929";"YADAH SNAIL CLEANSER";4;0
"Taller Fundea Geminis/Z.13";"YAD30";"8809340385936";"YADAH SNAIL CREAM";4;0
"Tester y regalias Kioscos";"KOC02";"8809328325329";" KOC02 * SLICE STRAWBERRY (6pcs)";0;0
"Tester y regalias Kioscos";"BAN01";"1000000300001";"BANDITA CABELLO SKIN & B";0;0
"Tester y regalias Kioscos";"YAD19";"8809340386568";"CACTUS LIP BALM.(01). VANILLA";1;1
"Tester y regalias Kioscos";"YAD20";"8809340386575";"CACTUS LIP BALM.(02). PEACH";1;1
"Tester y regalias Kioscos";"YAD21";"8809340386582";"CACTUS LIP BALM.(03). STRAWBERRY ";1;1
"Tester y regalias Kioscos";"YAD22";"8809340386599";"CACTUS LIP BALM.(04). CHERRY";1;1
"Tester y regalias Kioscos";"YAD00";"";"CACTUS SOOTHING GEL 15ML";5;0
"Tester y regalias Kioscos";"YAD11";"8809340385349";"CACTUS SOOTHING GEL 250ML";1;1
"Tester y regalias Kioscos";"CEN02";"8809576260601";"CENTELLA AMPOULE";1;1
"Tester y regalias Kioscos";"CEN05";"8809576261110";"Centella Light Cleansing Oil";0;0
"Tester y regalias Kioscos";"CEN01";"8809913830115";"CENTELLA POREMIZING AMPOULE";1;1
"Tester y regalias Kioscos";"CEN04";"8809576261462";"CENTELLA POREMIZING AMPOULE 100ML";1;1
"Tester y regalias Kioscos";"CEN03";"8809913830085";"Centella Poremizing Clay Stick";1;1
"Tester y regalias Kioscos";"YAD16";"8809340384373";"CHARCOAL CLEANSING NOSE PACK";1;1
"Tester y regalias Kioscos";"YAD17";"8809340384465";"GREEN TEA PURE CLEANSING BALM";1;1
"Tester y regalias Kioscos";"HAR11";"8809532221943";"HARU CENTELLA PEPTIDE CREAM REFIL";1;1
"Tester y regalias Kioscos";"HAR03";"8809532221707";"HARUHARU AIRYFIT SUNSCREEN";1;1
"Tester y regalias Kioscos";"HAR05";"8809532221523";"HARUHARU BAKUCHIOL EYE CREAM";1;1
"Tester y regalias Kioscos";"HAR13";"8809532221929";"HARUHARU BAMBOO DAILY SUNSHIELD";1;1
"Tester y regalias Kioscos";"HAR09";"8809532221813";"haruharu Centella 4% TXA Spot Serum";1;1
"Tester y regalias Kioscos";"HAR10";"8809532221790";"HARUHARU CENTELLA PEPTIDE CREAM";1;1
"Tester y regalias Kioscos";"HAR04";"8809532221691";"HARUHARU MINERAL RELIEF SUNSCREEN";1;1
"Tester y regalias Kioscos";"HAR01";"8809532221721";"HARUHARU RICE HYALURONIC CREAM";1;1
"Tester y regalias Kioscos";"HAR02";"8809532221462";"HARUHARU RICE HYALURONIC TONER";1;1
"Tester y regalias Kioscos";"HAR06";"8809532221356";"HARUHARU RICE SOFT CLEANSING GEL";1;1
"Tester y regalias Kioscos";"HAR12";"8809532221783";"HARUHARU TRIPLE AHA CLEANSING GEL";1;1
"Tester y regalias Kioscos";"KOC16";"8809328324049";"Koc Waffle Mask Honey";0;0
"Tester y regalias Kioscos";"KOC12";"8809328324001";"Koc Waffle Mask Strawberry";0;0
"Tester y regalias Kioscos";"KOC28";"8809328325190";"KOCOSTAR COLLAGEN MASK";0;0
"Tester y regalias Kioscos";"KOC10";"8809328320287";"KOCOSTAR FOOT PACK PURPLE";0;0
"Tester y regalias Kioscos";"KOC09";"8809328320270";"KOCOSTAR FOOT PACK YELLOW";0;0
"Tester y regalias Kioscos";"KOC08";"8809328320256";"KOCOSTAR HAND PACK MINT";0;0
"Tester y regalias Kioscos";"KOC07";"8809328320232";"KOCOSTAR HAND PACK PURPLE";0;0
"Tester y regalias Kioscos";"KOC06";"8809328320218";"KOCOSTAR HAND PACK YELLOW";0;0
"Tester y regalias Kioscos";"KOC29";"8809328325183";"KOCOSTAR HYALURONIC MASK";0;0
"Tester y regalias Kioscos";"KOC31";"8809328326418";"KOCOSTAR RETINOL MASK";0;0
"Tester y regalias Kioscos";"KOC30";"8809328325213";"KOCOSTAR TEA TREE MASK";0;0
"Tester y regalias Kioscos";"HAR14";"";"Mini Haru Hyaluronic Toner (10ml)";5;5
"Tester y regalias Kioscos";"JAD01";"1000000200001";"MINI JADE ROLLER MOUNT L";0;0
"Tester y regalias Kioscos";"KOC27";"8809328325312";"PEACH DUO DUO";1;1
"Tester y regalias Kioscos";"KOC32";"8809328325282";"PREMIUM FOOT PEELING PACK";0;0
"Tester y regalias Kioscos";"KOC17";"8809328320058";"Princess Eye Patch Gold (tarro)";1;1
"Tester y regalias Kioscos";"KOC18";"8809328321338";"Princess EyePatch Gold Sachet";0;0
"Tester y regalias Kioscos";"PUR02";"8809563103706";"Purito BB Cream Natural Beige #23";0;0
"Tester y regalias Kioscos";"PUR01";"8809563103683";"Purito BB Cream Rose Ivory #15";0;0
"Tester y regalias Kioscos";"PUR03";"8809563103713";"Purito BB Cream Sand Beige #27";0;0
"Tester y regalias Kioscos";"KOC22";"8809328325558";"ROMANTIC ROSE LIP MASK TARRO";1;1
"Tester y regalias Kioscos";"HAR15";"";"Sachet haru 5.5 Cleansing Gel (2ml)";5;0
"Tester y regalias Kioscos";"HAR07";"";"SACHET HARUHARU AIRYFIT SUNSCREEN";5;0
"Tester y regalias Kioscos";"HAR16";"";"SACHET HARUHARU BAKUCHIOL EYE CREAM";5;0
"Tester y regalias Kioscos";"HAR08";"";"SACHET HARUHARU MINERAL SUNSCREEN";5;0
"Tester y regalias Kioscos";"KOC01";"8809328325367";"SLICE CUCUMBER (6pcs)";0;0
"Tester y regalias Kioscos";"YAD02";"8809340380023";"YAD ANTI-T BUBBLE CLEANSER";1;1
"Tester y regalias Kioscos";"YAD04";"8809340380313";"YAD ANTI-T EMULSION";1;1
"Tester y regalias Kioscos";"YAD03";"8809340380306";"YAD ANTI-T TONER";1;1
"Tester y regalias Kioscos";"YAD12";"8809340383390";"YADAH BE MY TINT 01 WANN";1;1
"Tester y regalias Kioscos";"YAD13";"8809340383406";"YADAH BE MY TINT 02 PEAC";1;1
"Tester y regalias Kioscos";"YAD14";"8809340383413";"YADAH BE MY TINT 03 REAL";1;1
"Tester y regalias Kioscos";"YAD18";"8809340385080";"YADAH CACTUS CREAM";1;1
"Tester y regalias Kioscos";"YAD32";"8809340386315";"YADAH CACTUS SERUM ";1;1
"Tester y regalias Kioscos";"YAD34";"8809340385967";"YADAH CACTUS SUNSCREEN";1;1
"Tester y regalias Kioscos";"YAD26";"8809340385684";"YADAH CACTUS TONER";1;1
"Tester y regalias Kioscos";"YAD08";"8809340385769";"YADAH CACTUS TONER PADS JAR";1;2
"Tester y regalias Kioscos";"YAD35";"8809340385424";"YADAH CACTUS TONER SACHET";5;0
"Tester y regalias Kioscos";"YAD33";"8809340386308";"YADAH CAMELLIA SERUM ";1;1
"Tester y regalias Kioscos";"YAD36";"8809340386285";"YADAH CLEANSING BALM MINI 3ML";5;0
"Tester y regalias Kioscos";"YAD27";"8809340386056";"YADAH GREEN TEA CLEANSING";1;1
"Tester y regalias Kioscos";"YAD28";"8809340385943";"YADAH GREEN TEA PEELING";1;1
"Tester y regalias Kioscos";"YAD31";"8809340386292";"YADAH GREEN VITA C SERUM ";1;1
"Tester y regalias Kioscos";"YAD29";"8809340385929";"YADAH SNAIL CLEANSER";1;1
"Tester y regalias Kioscos";"YAD30";"8809340385936";"YADAH SNAIL CREAM";1;1
